actual_price,predicted_price,fair_value_signal,position
45.04,46.961884,1.9218839999999986,HOLD
43.24,36.79521,-6.444790000000005,SHORT
41.76,45.488842,3.728842,HOLD
42.4,45.157608,2.7576080000000047,HOLD
40.38,40.656925,0.27692499999999853,HOLD
40.2,37.141106,-3.0588940000000022,HOLD
39.84,19.172585,-20.667415000000002,SHORT
42.14,15.073423,-27.066577000000002,SHORT
37.66,28.963789,-8.696210999999998,SHORT
43.12,26.574368,-16.545631999999998,SHORT
43.17,24.830965,-18.339035000000003,SHORT
38.37,32.354385,-6.015614999999997,SHORT
38.32,24.572268,-13.747732,SHORT
32.9,10.839386,-22.060614,SHORT
28.4,7.0684204,-21.331579599999998,SHORT
21.12,0.66488373,-20.45511627,SHORT
17.85,21.166895,3.316894999999999,HOLD
10.12,10.936694,0.816694,HOLD
7.46,5.114193,-2.3458069999999998,HOLD
11.32,5.6551585,-5.6648415000000005,SHORT
17.4,11.375172,-6.024827999999999,SHORT
26.14,14.972212,-11.167788,SHORT
37.98,37.453934,-0.5260660000000001,HOLD
47.46,36.88899,-10.571010000000001,SHORT
52.6,39.61427,-12.985730000000004,SHORT
51.41,39.725754,-11.684245999999995,SHORT
51.25,40.724438,-10.525562,SHORT
48.16,37.757847,-10.402152999999998,SHORT
45.94,40.54796,-5.392039999999994,SHORT
45.91,41.607372,-4.302627999999999,HOLD
47.52,41.07777,-6.442230000000002,SHORT
50.61,42.69336,-7.916640000000001,SHORT
52.66,41.037205,-11.622794999999996,SHORT
55.61,47.522144,-8.087856000000002,SHORT
55.43,48.33364,-7.096359999999997,SHORT
54.59,45.565693,-9.024307,SHORT
52.87,47.596684,-5.273315999999994,SHORT
50.52,41.81182,-8.708180000000006,SHORT
47.77,36.415012,-11.354988000000006,SHORT
45.44,32.55755,-12.882449999999999,SHORT
46.75,29.437765,-17.312235,SHORT
47.8,31.741352,-16.058647999999998,SHORT
46.28,33.664314,-12.615686000000004,SHORT
47.62,31.904188,-15.715811999999996,SHORT
48.15,31.751316,-16.398684,SHORT
50.78,34.063957,-16.716043,SHORT
58.38,41.85281,-16.527190000000004,SHORT
71.73,48.785126,-22.944874000000006,SHORT
78.25,51.173534,-27.076466000000003,SHORT
78.99,53.921432,-25.068567999999992,SHORT
78.23,51.31794,-26.912060000000004,SHORT
77.5,48.01168,-29.48832,SHORT
75.04,45.93096,-29.109040000000007,SHORT
74.25,46.531185,-27.718815,SHORT
74.8,47.44227,-27.357729999999997,SHORT
74.56,48.818054,-25.741946000000006,SHORT
76.23,48.999325,-27.230675000000005,SHORT
82.6,51.066616,-31.53338399999999,SHORT
82.38,51.066616,-31.313383999999992,SHORT
76.89,51.99234,-24.897660000000002,SHORT
72.19,53.87278,-18.31722,SHORT
66.78,52.605072,-14.174928000000001,SHORT
60.5,48.492306,-12.007694,SHORT
53.77,43.97194,-9.798060000000007,SHORT
50.76,43.2775,-7.482499999999995,SHORT
48.8,37.93731,-10.86269,SHORT
47.27,36.911575,-10.358425000000004,SHORT
46.17,38.092224,-8.077776,SHORT
46.88,37.342503,-9.537497000000002,SHORT
47.23,43.483295,-3.7467049999999986,HOLD
53.69,44.482777,-9.207222999999999,SHORT
63.74,56.86185,-6.878150000000005,SHORT
64.01,66.22893,2.2189300000000003,HOLD
64.21,65.36552,1.1555200000000099,HOLD
61.7,65.33252,3.6325199999999995,HOLD
60.71,64.54109,3.831089999999996,HOLD
55.12,59.357857,4.237857000000005,HOLD
52.97,57.97975,5.009750000000004,LONG
49.54,58.255352,8.715352000000003,LONG
46.89,58.98577,12.095770000000002,LONG
47.5,58.90055,11.400550000000003,LONG
52.93,61.02728,8.097279999999998,LONG
50.9,59.841583,8.941583000000001,LONG
48.9,63.57799,14.677990000000001,LONG
45.76,51.064842,5.304842000000001,LONG
44.44,42.89256,-1.5474399999999946,HOLD
43.98,40.902832,-3.0771680000000003,HOLD
40.41,41.27412,0.8641200000000069,HOLD
45.26,36.08959,-9.170409999999997,SHORT
44.34,34.62171,-9.718290000000003,SHORT
43.06,35.095356,-7.964644,SHORT
41.9,33.209644,-8.690356000000001,SHORT
41.24,34.383053,-6.856947000000005,SHORT
40.43,27.683828,-12.746172000000001,SHORT
42.97,30.464691,-12.505309,SHORT
44.2,32.374374,-11.825626,SHORT
44.81,34.47373,-10.336269999999999,SHORT
47.3,43.7181,-3.5818999999999974,HOLD
46.77,43.221916,-3.548084000000003,HOLD
46.26,40.14267,-6.1173299999999955,SHORT
44.1,43.93287,-0.16713000000000022,HOLD
40.05,43.97027,3.920270000000002,HOLD
38.26,42.507027,4.247027000000003,HOLD
35.93,37.346775,1.4167750000000012,HOLD
36.81,40.331505,3.5215049999999977,HOLD
42.74,45.882576,3.1425759999999983,HOLD
44.64,46.85293,2.21293,HOLD
39.21,46.27201,7.062010000000001,LONG
37.43,37.361103,-0.06889699999999976,HOLD
30.61,36.19474,5.584740000000004,LONG
35.14,35.60329,0.46329000000000065,HOLD
27.55,30.094505,2.544505000000001,HOLD
23.18,29.594912,6.414912000000001,LONG
16.89,28.343288,11.453288,LONG
16.88,27.85822,10.97822,LONG
18.86,26.493395,7.633395,LONG
19.58,26.317286,6.737286000000001,LONG
19.67,22.204678,2.5346779999999995,HOLD
17.9,23.656656,5.756656000000003,LONG
21.57,26.516884,4.946884000000001,HOLD
22.84,29.25249,6.412490000000002,LONG
25.22,33.96499,8.744990000000001,LONG
26.19,32.295746,6.105746,LONG
28.96,33.547504,4.587504000000003,HOLD
26.17,34.150364,7.980364000000002,LONG
12.48,27.602932,15.122931999999999,LONG
5.22,28.61788,23.39788,LONG
5.38,28.164757,22.784757000000003,LONG
